Date,Match,Status,Home Team,Home Score,Away Team,Away Score,Match Link
2024-11-05T20:00Z,Juventus at Lille,Full Time,Lille,1,Juventus,1,https://www.espn.com/soccer/match/_/gameId/720378/juventus-lille
2024-11-05T20:00Z,Bayer Leverkusen at Liverpool,Full Time,Liverpool,4,Bayer Leverkusen,0,https://www.espn.com/soccer/match/_/gameId/720368/bayer-leverkusen-liverpool
2024-11-05T20:00Z,AC Milan at Real Madrid,Full Time,Real Madrid,1,AC Milan,3,https://www.espn.com/soccer/match/_/gameId/720380/ac-milan-real-madrid
2024-11-05T20:00Z,Manchester City at Sporting CP,Full Time,Sporting CP,4,Manchester City,1,https://www.espn.com/soccer/match/_/gameId/720379/manchester-city-sporting-cp
2024-11-06T17:45Z,Aston Villa at Club Brugge,Full Time,Club Brugge,1,Aston Villa,0,https://www.espn.com/soccer/match/_/gameId/720383/aston-villa-club-brugge
2024-11-06T17:45Z,Young Boys at Shakhtar Donetsk,Full Time,Shakhtar Donetsk,2,Young Boys,1,https://www.espn.com/soccer/match/_/gameId/720384/young-boys-shakhtar-donetsk
2024-11-06T20:00Z,RB Salzburg at Feyenoord Rotterdam,Full Time,Feyenoord Rotterdam,1,RB Salzburg,3,https://www.espn.com/soccer/match/_/gameId/720386/rb-salzburg-feyenoord-rotterdam
2024-11-06T20:00Z,Arsenal at Internazionale,Full Time,Internazionale,1,Arsenal,0,https://www.espn.com/soccer/match/_/gameId/720387/arsenal-internazionale
2024-11-06T20:00Z,Atlético Madrid at Paris Saint-Germain,Full Time,Paris Saint-Germain,1,Atlético Madrid,2,https://www.espn.com/soccer/match/_/gameId/720388/atletico-madrid-paris-saint-germain
2024-11-06T20:00Z,Barcelona at Red Star Belgrade,Full Time,Red Star Belgrade,2,Barcelona,5,https://www.espn.com/soccer/match/_/gameId/720385/barcelona-red-star-belgrade
2024-11-06T20:00Z,Brest at Sparta Prague,Full Time,Sparta Prague,1,Brest,2,https://www.espn.com/soccer/match/_/gameId/720390/brest-sparta-prague
2024-11-06T20:00Z,Atalanta at VfB Stuttgart,Full Time,VfB Stuttgart,0,Atalanta,2,https://www.espn.com/soccer/match/_/gameId/720391/atalanta-vfb-stuttgart
2024-11-06T20:15Z,Benfica at Bayern Munich,Full Time,Bayern Munich,1,Benfica,0,https://www.espn.com/soccer/match/_/gameId/720389/benfica-bayern-munich
2024-12-10T17:45Z,Celtic at Dinamo Zagreb,Full Time,Dinamo Zagreb,0,Celtic,0,https://www.espn.com/soccer/match/_/gameId/720409/celtic-dinamo-zagreb
2024-12-10T17:45Z,Liverpool at Girona,Full Time,Girona,0,Liverpool,1,https://www.espn.com/soccer/match/_/gameId/720370/liverpool-girona
2024-12-10T20:00Z,Real Madrid at Atalanta,Full Time,Atalanta,2,Real Madrid,3,https://www.espn.com/soccer/match/_/gameId/720413/real-madrid-atalanta
2024-12-10T20:00Z,Internazionale at Bayer Leverkusen,Full Time,Bayer Leverkusen,1,Internazionale,0,https://www.espn.com/soccer/match/_/gameId/720412/internazionale-bayer-leverkusen
2024-12-10T20:00Z,PSV Eindhoven at Brest,Full Time,Brest,1,PSV Eindhoven,0,https://www.espn.com/soccer/match/_/gameId/720411/psv-eindhoven-brest
2024-12-10T20:00Z,Sporting CP at Club Brugge,Full Time,Club Brugge,2,Sporting CP,1,https://www.espn.com/soccer/match/_/gameId/720410/sporting-cp-club-brugge
2024-12-10T20:00Z,Aston Villa at RB Leipzig,Full Time,RB Leipzig,2,Aston Villa,3,https://www.espn.com/soccer/match/_/gameId/720416/aston-villa-rb-leipzig
2024-12-10T20:00Z,Paris Saint-Germain at RB Salzburg,Full Time,RB Salzburg,0,Paris Saint-Germain,3,https://www.espn.com/soccer/match/_/gameId/720414/paris-saint-germain-rb-salzburg
2024-12-10T20:00Z,Bayern Munich at Shakhtar Donetsk,Full Time,Shakhtar Donetsk,1,Bayern Munich,5,https://www.espn.com/soccer/match/_/gameId/720415/bayern-munich-shakhtar-donetsk
2024-12-11T17:45Z,Slovan Bratislava at Atlético Madrid,Full Time,Atlético Madrid,3,Slovan Bratislava,1,https://www.espn.com/soccer/match/_/gameId/720321/slovan-bratislava-atletico-madrid
2024-12-11T17:45Z,SK Sturm Graz at Lille,Full Time,Lille,3,SK Sturm Graz,2,https://www.espn.com/soccer/match/_/gameId/720417/sk-sturm-graz-lille
2024-12-11T20:00Z,Red Star Belgrade at AC Milan,Full Time,AC Milan,2,Red Star Belgrade,1,https://www.espn.com/soccer/match/_/gameId/720328/red-star-belgrade-ac-milan
2024-12-11T20:00Z,AS Monaco at Arsenal,Full Time,Arsenal,3,AS Monaco,0,https://www.espn.com/soccer/match/_/gameId/720325/as-monaco-arsenal
2024-12-11T20:00Z,Bologna at Benfica,Full Time,Benfica,0,Bologna,0,https://www.espn.com/soccer/match/_/gameId/720324/bologna-benfica
2024-12-11T20:00Z,Barcelona at Borussia Dortmund,Full Time,Borussia Dortmund,2,Barcelona,3,https://www.espn.com/soccer/match/_/gameId/720322/barcelona-borussia-dortmund
2024-12-11T20:00Z,Sparta Prague at Feyenoord Rotterdam,Full Time,Feyenoord Rotterdam,4,Sparta Prague,2,https://www.espn.com/soccer/match/_/gameId/720323/sparta-prague-feyenoord-rotterdam
2024-12-11T20:00Z,Manchester City at Juventus,Full Time,Juventus,2,Manchester City,0,https://www.espn.com/soccer/match/_/gameId/720326/manchester-city-juventus
2024-12-11T20:00Z,Young Boys at VfB Stuttgart,Full Time,VfB Stuttgart,5,Young Boys,1,https://www.espn.com/soccer/match/_/gameId/720327/young-boys-vfb-stuttgart
2025-02-18T17:45Z,Feyenoord Rotterdam at AC Milan,Full Time,AC Milan,1,Feyenoord Rotterdam,1,https://www.espn.com/soccer/match/_/gameId/732194/feyenoord-rotterdam-ac-milan
2025-02-18T20:00Z,Club Brugge at Atalanta,Full Time,Atalanta,1,Club Brugge,3,https://www.espn.com/soccer/match/_/gameId/732197/club-brugge-atalanta
2025-02-18T20:00Z,Celtic at Bayern Munich,Full Time,Bayern Munich,1,Celtic,1,https://www.espn.com/soccer/match/_/gameId/732193/celtic-bayern-munich
2025-02-18T20:00Z,AS Monaco at Benfica,Full Time,Benfica,3,AS Monaco,3,https://www.espn.com/soccer/match/_/gameId/732198/as-monaco-benfica
2025-02-19T17:45Z,Sporting CP at Borussia Dortmund,Full Time,Borussia Dortmund,0,Sporting CP,0,https://www.espn.com/soccer/match/_/gameId/732199/sporting-cp-borussia-dortmund
2025-02-19T20:00Z,Brest at Paris Saint-Germain,Full Time,Paris Saint-Germain,7,Brest,0,https://www.espn.com/soccer/match/_/gameId/732196/brest-paris-saint-germain
2025-02-19T20:00Z,Juventus at PSV Eindhoven,Final Score - After Extra Time,PSV Eindhoven,3,Juventus,1,https://www.espn.com/soccer/match/_/gameId/732195/juventus-psv-eindhoven
2025-02-19T20:00Z,Manchester City at Real Madrid,Full Time,Real Madrid,3,Manchester City,1,https://www.espn.com/soccer/match/_/gameId/732200/manchester-city-real-madrid
2025-03-11T17:45Z,Benfica at Barcelona,Full Time,Barcelona,3,Benfica,1,https://www.espn.com/soccer/match/_/gameId/733144/benfica-barcelona
2025-03-11T20:00Z,Bayern Munich at Bayer Leverkusen,Full Time,Bayer Leverkusen,0,Bayern Munich,2,https://www.espn.com/soccer/match/_/gameId/733148/bayern-munich-bayer-leverkusen
2025-03-11T20:00Z,Feyenoord Rotterdam at Internazionale,Full Time,Internazionale,2,Feyenoord Rotterdam,1,https://www.espn.com/soccer/match/_/gameId/733150/feyenoord-rotterdam-internazionale
2025-03-11T20:00Z,Paris Saint-Germain at Liverpool,Final Score - After Penalties,Liverpool,0,Paris Saint-Germain,1,https://www.espn.com/soccer/match/_/gameId/733605/paris-saint-germain-liverpool
2025-03-12T17:45Z,Borussia Dortmund at Lille,Full Time,Lille,1,Borussia Dortmund,2,https://www.espn.com/soccer/match/_/gameId/733604/borussia-dortmund-lille
2025-03-12T20:00Z,PSV Eindhoven at Arsenal,Full Time,Arsenal,2,PSV Eindhoven,2,https://www.espn.com/soccer/match/_/gameId/733607/psv-eindhoven-arsenal
2025-03-12T20:00Z,Club Brugge at Aston Villa,Full Time,Aston Villa,3,Club Brugge,0,https://www.espn.com/soccer/match/_/gameId/733146/club-brugge-aston-villa
2025-03-12T20:00Z,Real Madrid at Atlético Madrid,Final Score - After Penalties,Atlético Madrid,1,Real Madrid,0,https://www.espn.com/soccer/match/_/gameId/733606/real-madrid-atletico-madrid
2025-04-08T19:00Z,Real Madrid at Arsenal,Full Time,Arsenal,3,Real Madrid,0,https://www.espn.com/soccer/match/_/gameId/733608/real-madrid-arsenal
2025-04-08T19:00Z,Internazionale at Bayern Munich,Full Time,Bayern Munich,1,Internazionale,2,https://www.espn.com/soccer/match/_/gameId/733611/internazionale-bayern-munich
2025-04-09T19:00Z,Borussia Dortmund at Barcelona,Full Time,Barcelona,4,Borussia Dortmund,0,https://www.espn.com/soccer/match/_/gameId/733610/borussia-dortmund-barcelona
2025-04-09T19:00Z,Aston Villa at Paris Saint-Germain,Full Time,Paris Saint-Germain,3,Aston Villa,1,https://www.espn.com/soccer/match/_/gameId/733609/aston-villa-paris-saint-germain
2025-04-29T19:00Z,Paris Saint-Germain at Arsenal,Full Time,Arsenal,0,Paris Saint-Germain,1,https://www.espn.com/soccer/match/_/gameId/733616/paris-saint-germain-arsenal
2025-04-30T19:00Z,Internazionale at Barcelona,Full Time,Barcelona,3,Internazionale,3,https://www.espn.com/soccer/match/_/gameId/733617/internazionale-barcelona
2025-05-31T19:00Z,Internazionale at Paris Saint-Germain,Full Time,Paris Saint-Germain,5,Internazionale,0,https://www.espn.com/soccer/match/_/gameId/733620/internazionale-paris-saint-germain
